followers,likes
220000000,1602680172
138000000,220990134.6
137000000,174875242.6
111000000,2191405542
98100000,1731833461
97300000,280877652.4
97200000,235190437.5
89400000,543800874.3
85500000,210395355.3
83500000,146245435.4
77000000,158230212.5
75100000,617573972
72000000,63642295.56
69400000,39350061.94
69300000,109283010.7
69100000,1640737553
67300000,636497162.1
65800000,116511691.1
62100000,37475050.79
60700000,12480195.26
58700000,17219955
57800000,244293352.9
57300000,39953044.15
57100000,31942735
55500000,51156331.51
53400000,182929448
52800000,135816576.6
52600000,45500762.85
52300000,204913414.4
52100000,97976609.8
52000000,35849829.85
51600000,406235612.4
51500000,44484407.8
51300000,27470145.64
50900000,11453139.1
49400000,25323367.15
46900000,230841570.4
46800000,22039543.26
45900000,641782272.8
45900000,37371320.82
45600000,288740569.4
45100000,937427149.9
44700000,24257065.2
44200000,763318297
43800000,196137065.7
43700000,36932146.78
43300000,222616795.2
43100000,449621753.4
43000000,5322828.259
42300000,117320899.9
42000000,55641776.54
41600000,138038669.5
41300000,39269151.6
40600000,766852538
40500000,16319224.4
40500000,155670991.2
40400000,814895443
39800000,240442177.4
39400000,1205009.12
39200000,5749294.194
39000000,247337977.2
38300000,23751378.74
38300000,167231088.8
38200000,19334895.6
38100000,46360335.99
37500000,156622828.8
37500000,245579644.7
37400000,33550305.4
37400000,18094604
37200000,18852717
36900000,240742149.4
36800000,80346776.67
36700000,16923109.41
36600000,188506752.5
36300000,50988592.12
89400000,543800874.3
85500000,210395355.3
83500000,146245435.4
77000000,158230212.5
75100000,617573972
72000000,63642295.56
69400000,39350061.94
69300000,109283010.7
69100000,1640737553
67300000,636497162.1
