country,category,count
BR,Beauty & Fashion,1
BR,Entertainment,0
BR,Fashion,0
BR,Gaming & Apps,2
BR,Music,2
BR,People & Blogs,0
BR,Science & Tech,0
BR,Sports,0
BR,Others,0
BY,Beauty & Fashion,1
BY,Entertainment,0
BY,Fashion,0
BY,Gaming & Apps,0
BY,Music,0
BY,People & Blogs,0
BY,Science & Tech,0
BY,Sports,0
BY,Others,0
CA,Beauty & Fashion,0
CA,Entertainment,0
CA,Fashion,0
CA,Gaming & Apps,2
CA,Music,0
CA,People & Blogs,0
CA,Science & Tech,0
CA,Sports,0
CA,Others,0
CL,Beauty & Fashion,0
CL,Entertainment,0
CL,Fashion,0
CL,Gaming & Apps,0
CL,Music,1
CL,People & Blogs,0
CL,Science & Tech,0
CL,Sports,0
CL,Others,0
IN,Beauty & Fashion,0
IN,Entertainment,1
IN,Fashion,0
IN,Gaming & Apps,14
IN,Music,6
IN,People & Blogs,0
IN,Science & Tech,0
IN,Sports,0
IN,Others,2
KR,Beauty & Fashion,0
KR,Entertainment,0
KR,Fashion,0
KR,Gaming & Apps,2
KR,Music,2
KR,People & Blogs,0
KR,Science & Tech,0
KR,Sports,0
KR,Others,0
MX,Beauty & Fashion,2
MX,Entertainment,0
MX,Fashion,0
MX,Gaming & Apps,0
MX,Music,0
MX,People & Blogs,0
MX,Science & Tech,0
MX,Sports,0
MX,Others,0
NO,Beauty & Fashion,0
NO,Entertainment,0
NO,Fashion,0
NO,Gaming & Apps,0
NO,Music,1
NO,People & Blogs,0
NO,Science & Tech,0
NO,Sports,0
NO,Others,0
PH,Beauty & Fashion,0
PH,Entertainment,0
PH,Fashion,0
PH,Gaming & Apps,0
PH,Music,0
PH,People & Blogs,0
PH,Science & Tech,0
PH,Sports,0
PH,Others,1
PR,Beauty & Fashion,0
PR,Entertainment,0
PR,Fashion,0
PR,Gaming & Apps,0
PR,Music,1
PR,People & Blogs,0
PR,Science & Tech,0
PR,Sports,0
PR,Others,0
RU,Beauty & Fashion,0
RU,Entertainment,0
RU,Fashion,0
RU,Gaming & Apps,1
RU,Music,0
RU,People & Blogs,0
RU,Science & Tech,0
RU,Sports,0
RU,Others,1
SV,Beauty & Fashion,0
SV,Entertainment,0
SV,Fashion,0
SV,Gaming & Apps,1
SV,Music,0
SV,People & Blogs,0
SV,Science & Tech,0
SV,Sports,0
SV,Others,0
TH,Beauty & Fashion,0
TH,Entertainment,0
TH,Fashion,0
TH,Gaming & Apps,0
TH,Music,0
TH,People & Blogs,0
TH,Science & Tech,0
TH,Sports,0
TH,Others,1
US,Beauty & Fashion,0
US,Entertainment,3
US,Fashion,1
US,Gaming & Apps,17
US,Music,12
US,People & Blogs,3
US,Science & Tech,1
US,Sports,2
US,Others,1
